k_date,count,uvIndex,tempC,totalSnow_cm,mintempC,maxtempC,windSpeedKmph,precipMM,humidity,visibilityKM,cloudcover,FeelsLikeC,is_holiday,day_of_week,season_num,year,day,month
01-01-14,123,1,-6.626016260162602,0.7999999999999982,-9,-6,22.495934959349594,0.32032520325203173,90.9349593495935,3.6504065040650406,97.78048780487805,-14.16260162601626,1,2,1,14,01-01,1
01-01-15,862,2,-6.728538283062645,0.0,-7,-2,33.65313225058004,0.0,58.17981438515081,10.0,2.9663573085846866,-16.07656612529002,1,3,1,15,01-01,1
01-01-16,935,2,-4.871657754010696,0.0,-6,-2,30.911229946524063,0.0,83.0994652406417,6.654545454545454,80.13155080213903,-13.173262032085562,1,4,1,16,01-01,1
01-01-17,1727,2,-1.0885929357266937,0.0,-2,3,12.295309785755645,0.0,71.72900984365953,10.0,0.7614360162130863,-5.281412854661262,1,6,1,17,01-01,1
01-01-18,375,2,-18.266666666666666,0.0,-19,-16,20.117333333333335,0.0,93.2,10.0,27.381333333333334,-28.442666666666668,1,0,1,18,01-01,1
01-01-19,1312,1,-0.5251524390243902,3.0,-2,-1,17.4390243902439,0.34024390243903674,84.03506097560975,5.489329268292683,100.0,-6.016006097560975,1,1,1,19,01-01,1
01-01-20,2141,2,0.11816907986921998,0.0,-3,2,19.4978981784213,0.0,61.03829985987856,10.0,6.686595049042504,-4.904250350303596,1,2,1,20,01-01,1
01-01-21,1068,2,-0.6769662921348315,0.0,-6,1,22.508426966292134,1.7764981273407974,88.06835205992509,8.205056179775282,75.93352059925094,-5.346441947565543,1,4,1,21,01-01,1
01-02-14,112,1,-6.991071428571429,0.0,-10,-7,29.848214285714285,0.4874999999999999,85.00892857142857,1.4285714285714286,100.0,-15.839285714285714,0,3,1,14,01-02,1
01-02-15,2474,2,-2.349636216653193,0.0,-3,2,9.195634599838318,0.0,77.77324171382377,10.0,14.497574777687955,-6.3096200485044465,0,4,1,15,01-02,1
01-02-16,1421,1,-3.4152005629838142,0.09999999999999734,-4,-1,20.260380014074595,0.029345531315974893,86.66783954961295,10.0,45.59113300492611,-10.121745249824068,0,5,1,16,01-02,1
01-02-17,1960,2,2.122448979591837,0.0,1,3,14.584183673469388,0.0,90.35561224489796,8.844897959183674,71.34081632653061,-2.0729591836734693,0,0,1,17,01-02,1
01-02-18,1633,2,-17.646050214329456,0.0,-18,-14,15.844458052663809,0.0,87.15064298836498,10.0,10.79730557256583,-26.688303735456216,0,1,1,18,01-02,1
01-02-19,4170,1,-3.7170263788968825,0.29999999999997645,-7,0,8.450839328537171,0.035827338129495394,79.96330935251798,9.017985611510792,97.44268585131894,-5.94220623501199,0,2,1,19,01-02,1
01-02-20,6479,2,5.113906467047384,0.0,2,7,17.91974070072542,0.006019447445593499,82.50239234449761,9.578638678808458,47.641302670165146,1.5611977156968668,0,3,1,20,01-02,1
01-02-21,2275,1,0.04,0.0,-3,1,8.368351648351648,0.10567032967032952,89.12263736263736,9.917802197802198,44.956043956043956,-2.6285714285714286,0,5,1,21,01-02,1
01-03-14,6,2,-15.0,0.0,-15,-8,10.0,0.0,75.0,10.0,2.0,-20.0,0,4,1,14,01-03,1
01-03-15,697,2,0.8177905308464849,1.0,0,2,14.915351506456242,2.2618364418938404,91.55954088952655,6.644189383070302,95.67431850789096,-3.87948350071736,0,5,1,15,01-03,1
01-03-16,1399,2,-1.991422444603288,0.09999999999999738,-3,-1,25.250178699070766,0.029449606862044543,83.91065046461759,7.529664045746962,60.14510364546104,-8.96854896354539,0,6,1,16,01-03,1
01-03-17,4537,1,4.0,0.0,0,4,10.490191756667402,0.2314525016530981,96.65329512893983,5.843068106678422,100.0,0.4650650209389464,0,1,1,17,01-03,1
01-03-18,2483,2,-10.365283930728957,0.7999999999999684,-13,-9,17.77970197341925,0.1904148207813085,84.9049536850584,5.086991542488924,91.16190092629883,-18.115585984695933,0,2,1,18,01-03,1
01-03-19,5618,2,-1.8579565681737273,0.0,-2,2,12.173371306514774,0.0,74.69134923460307,10.0,1.1525453898184408,-7.81060875756497,0,3,1,19,01-03,1
01-03-20,5890,1,2.233955857385399,1.0,1,3,16.868081494057726,0.13818336162988476,83.07996604414261,8.348896434634975,93.99269949066213,-1.9266553480475381,0,4,1,20,01-03,1
01-03-21,2383,1,0.6286193873268988,3.3000000000001264,-1,1,11.922786403692823,0.3772135963071748,94.30004196391104,4.257658413764163,99.27234578262694,-3.336550566512799,0,6,1,21,01-03,1
01-04-14,205,2,-4.4,4.2000000000000135,-6,0,40.68780487804878,0.0,86.26341463414634,8.595121951219513,33.80487804878049,-13.448780487804878,0,5,1,14,01-04,1
01-04-15,403,1,0.5905707196029777,2.6000000000000134,-12,1,19.74937965260546,1.308188585607935,90.98759305210918,1.6724565756823822,100.0,-4.895781637717121,0,6,1,15,01-04,1
01-04-16,3833,2,-4.8940777458909475,0.0,-6,-3,25.485520480041743,0.04761283589877222,81.83328985129141,7.826767545003913,57.75580485259588,-12.199321680146099,0,0,1,16,01-04,1
01-04-17,3269,1,-8.060263077393698,0.0,-10,-7,32.075864178647905,0.002722545120832054,64.71642704190884,9.782196390333436,17.872743958397063,-17.550321199143468,0,2,1,17,01-04,1
01-04-18,2406,2,-13.855777223607648,0.0,-14,-12,17.992934330839567,0.0,84.47090606816293,10.0,16.052784704904404,-22.855777223607646,0,3,1,18,01-04,1
01-04-19,6793,2,1.1854850581480936,0.0,1,7,14.917120565287796,0.0,72.56072427498896,10.0,1.5644045340791992,-3.398792875018401,0,4,1,19,01-04,1
01-04-20,3187,1,0.721681832444305,0.0,0,1,16.550360840916223,0.0036711641041731954,68.38970818951992,9.382177596485723,72.65641669281456,-3.9086915594603076,0,5,1,20,01-04,1
01-04-21,3209,2,-1.894047990028046,0.7000000000000133,-6,1,15.769086942972889,0.17535057650358904,93.8974758491742,6.449049548145839,88.51760673106887,-5.498597693985666,0,0,1,21,01-04,1
01-05-14,33,1,-3.212121212121212,3.799999999999998,-13,-3,31.666666666666668,2.5575757575757567,93.27272727272727,0.30303030303030304,100.0,-11.484848484848484,0,6,1,14,01-05,1
01-05-15,1220,2,-15.726229508196722,1.4000000000000268,-16,-13,23.888524590163936,0.0,84.62950819672132,8.59672131147541,27.15081967213115,-26.827868852459016,0,0,1,15,01-05,1
01-05-16,4189,1,-3.856767724994032,0.0,-4,0,21.70828359990451,0.0,81.64693244211028,10.0,14.103127238004298,-10.592265457149677,0,1,1,16,01-05,1
01-05-17,2917,1,-11.88618443606445,0.1999999999999985,-13,-10,18.958176208433322,0.0,63.548851559821735,10.0,81.01131299280082,-20.88618443606445,0,3,1,17,01-05,1
01-05-18,2222,2,-14.842034203420342,0.0,-15,-12,18.955895589558956,0.0,80.26462646264626,10.0,2.1345634563456346,-24.036453645364535,0,4,1,18,01-05,1
01-05-19,6179,2,1.8548308787829746,0.0,1,7,17.382424340508173,0.0,83.63877650105195,10.0,3.1621621621621623,-1.244214274154394,0,5,1,19,01-05,1
01-05-20,3035,2,3.360790774299835,0.0,0,5,29.243492586490937,0.0,61.60889621087315,10.0,23.265897858319605,-2.389456342668863,0,6,1,20,01-05,1
01-05-21,3845,1,-0.7667100130039012,0.5999999999999566,-4,1,10.142522756827049,0.011833550065019518,87.95318595578674,9.81144343302991,19.85747724317295,-3.9235370611183353,0,1,1,21,01-05,1
01-06-14,1,1,-21.0,0.0,-23,-21,35.0,0.0,90.0,10.0,79.0,-36.0,0,0,1,14,01-06,1
01-06-15,951,1,-13.098843322818086,3.599999999999941,-14,-11,15.73080967402734,0.29200841219768814,95.96424815983175,6.289169295478444,76.50052576235541,-20.963196635120926,0,1,1,15,01-06,1
01-06-16,4608,2,-1.8704427083333333,0.0,-2,2,20.17404513888889,0.0,64.35590277777777,10.0,9.76345486111111,-7.870442708333333,0,2,1,16,01-06,1
01-06-17,2516,1,-14.91891891891892,0.09999999999999602,-15,-13,19.253577106518282,0.0,77.31637519872814,10.0,72.60572337042925,-24.870826709062005,0,4,1,17,01-06,1
01-06-18,1090,2,-14.519266055045872,0.0,-15,-10,14.365137614678899,0.0,78.63669724770642,10.0,1.3073394495412844,-21.96330275229358,0,5,1,18,01-06,1
01-06-19,3677,2,0.8115311395159097,0.0,-1,3,10.301604568942073,0.0,79.21729670927387,10.0,29.150394343214575,-2.383736741909165,0,6,1,19,01-06,1
01-06-20,7073,2,1.736886752438852,0.0,0,3,16.759790753569913,0.0,50.67397144068995,10.0,68.16075215608653,-2.4901739007493284,0,0,1,20,01-06,1
